#2655 - Bayamo
#VU Discovery Bug Fix

#owner = CIB
#controller = CIB
#add_core = CIB
culture = west_taino
#is_city = yes
religion = animism
capital = "Bayamo"
trade_goods = unknown
hre = no
base_tax = 2
base_production = 3
base_manpower = 2
native_size = 30
native_ferocity = 1
native_hostileness = 1





1513.11.5 = {
	owner = CAS
	controller = CAS
	add_core = CAS
	culture = castillian
	religion = catholic
	capital = "Santiago de Cuba"
	is_city = yes
	trade_goods = sugar
} # Founded by Diego Velázquez
1516.1.23 = {
	
	owner = SPA
	controller = SPA
	add_core = SPA
	remove_core = CAS
}
